0.05867626337030947, 40.9
0.07241327077773911, 34.2
0.14182614400830273, 5.6
0.07738445825263525, 26.6
0.0663013840845154, 46.1
0.10646487246898757, 24.8
0.11793307419844938, 20.8
0.06748612500161143, 25.9
0.09805470150122549, 55.6
0.049425399368734864, 39.0
0.09746780882851856, 45.0
0.13134649694640255, 10.4
0.07943164989680083, 34.5
0.04830270806744788, 29.5
0.06933278207252198, 61.3
0.061928491142238175, 84.7
0.0773715718641089, 27.4
0.06396440108932461, 36.6
0.16652705165960477, 18.3
0.06379017274190645, 58.5
0.030722327781842855, 77.8
0.042019974782292024, 45.0
0.04762896620970378, 48.3
0.04911873225050333, 27.1
0.11061686613711429, 27.4
0.05807137842312467, 140.0
0.03573089537747466, 82.0
0.0659558213766848, 68.0
0.04768974906165635, 113.0
0.2044124477476995, 29.0
0.04271843461424493, 63.0
0.03710931927790886, 99.0
0.06203908568983148, 37.0
0.04753305761810897, 50.0
0.05509420103773396, 30.0
0.040990461612622896, 29.0
0.04961381576874606, 20.0
0.04090865146058422, 36.0
0.06203908568983148, 24.0
0.03756321573268482, 28.0
0.027493732937619492, 50.0
0.24466590861264156, 12.0
0.047792471062932114, 34.0
0.031509260679892535, 27.0
0.042788547894876475, 35.0
0.07528574830549503, 9.0
0.06347347404986686, 20.0
0.05571250706099613, 31.0
0.08052537002714309, 27.0
0.06859752276877437, 23.0
0.052538595281862735, 24.0
0.04148844379943015, 51.0
0.13883062211033997, 84.0
